bn-65-1K.edges,1139,0,5
bn-100k-662k.edges,662431,0.0907,9
bn-7k-50k.edges,49788,0.006,6
bn-800-19k.edges,19176,0.002,5
bn-1.8M-166M.edges,165672643,22.5133,647
bn-34k-181k.edges,180811,0.0265,7
bn-434k-16M.edges,16036720,2.1631,77
bn-449k-3.3M.edges,3314611,0.472,23
bn-human-BNU_1_0025868_session_1-bg_150M.edges,150443553,21.4254,589
bn-human-BNU_1_0025869_session_2-bg_150M.edges,151544915,20.5933,593
bn-human-BNU_1_0025871_session_1-bg_170M.edges,168679312,22.8858,659
bn-human-BNU_1_0025876_session_2-bg_140M.edges,139871242,18.8808,549
bn-human-BNU_1_0025889_session_2_130M.edges,131926773,17.9586,519
bn-human-BNU_1_0025913_session_2_180M.edges,183978766,24.9371,717
bn-human-BNU_1_0025914_session_2_100M.edges,103134404,14.2282,409
bn-human-BNU_1_0025916_session_1_110M.edges,112519748,15.6484,445
bn-human-BNU_1_0025919_session_1_200M.edges,202225017,27.9432,787
bn-human-BNU_1_0025919_session_1.edges,202225017,27.3369,787
bn-human-Jung2015_M7101234.edges,64352100,8.5895,744
bn-human-Jung2015_M8703600.edges,50628170,6.8676,208
bn-human-Jung2015_M87101049_190M.edges,192423317,26.4114,749
bn-human-Jung2015_M87101705_200M.edges,201198184,27.1848,783
bn-human-Jung2015_M87104201_190M.edges,191224983,25.82,745
bn-human-Jung2015_M87104300_70M.edges,67658067,9.1071,273
bn-human-Jung2015_M87104509_50M.edges,50037313,6.7876,206
bn-human-Jung2015_M87107781_70M.edges,72523814,9.7145,292
bn-human-Jung2015_M87110148_140M.edges,143436058,20.1554,563
bn-human-Jung2015_M87110650_40M.edges,40701380,5.5175,171
bn-human-Jung2015_M87112427_170M.edges,171231873,23.1484,669
bn-human-Jung2015_M87113679_60M.edges,62333443,8.4536,253
bn-human-Jung2015_M87113878.edges,267844668,37.3603,3079
bn-human-Jung2015_M87114342_90M.edges,91152786,12.3564,363
bn-human-Jung2015_M87116523_80M.edges,77777026,10.4034,897
bn-human-Jung2015_M87117093_120M.edges,124038605,16.8664,489
bn-human-Jung2015_M87118347_80M.edges,79114770,10.6165,915
bn-human-Jung2015_M87118465_180M.edges,181569095,25.1787,708
bn-human-Jung2015_M87119472_60M.edges,59548327,8.076,243
bn-human-Jung2015_M87124563_160M.edges,160996800,21.7612,630
bn-human-Jung2015_M87125286_210M.edges,209976387,29.0227,816
bn-human-Jung2015_M87125334_40M.edges,40258003,5.4805,169
